ID;Reference_paper_number;Country;State;Municipality;Study_location;Latitude;Longitude;Precision;Size_ha;Temperature;Altitude;Annual_rainfall;Vegetation_type;Protect_area;Matrix;Reference;Publication_year;Type_of_publication;Month_start;Year_start;Month_finish;Year_finish;Total_of_months;Sampling_habitat;Effort;Effort_method;Method;Order;Genus_on_paper;Species_name_on_paper;Actual_species_Name;Number_of_record;Density(groups/km2);Density(ind/km2);Density(ind/km10);Abundance(%);Abudance_relative;Abundance(10/km);Voucher_Specimens
AML143;97;Brazil;minas_gerais;Mirai;Atlantic Forest Fragment;-21141713;-42603549;precise;NA;NA;473.771;NA;Semideciduous forest;no;Pasture;Rosa, C. (2018). Unpublished data. ;2018;Unpublished data;July;2018;October;2018;3;Edge;80;hours;line_transect;Carnivora;Nasua;Nasua nasua;Nasua nasua;NA;NA;NA;NA;NA;NA;NA;NA
AML143;97;Brazil;minas_gerais;Mirai;Atlantic Forest Fragment;-21132083;-4263925;precise;NA;NA;217.344;NA;Riparian forest;no;Pasture;Rosa, C. (2018). Unpublished data. ;2018;Unpublished data;July;2018;October;2018;3;Edge;80;hours;line_transect;Lagomorpha;Sylvilagus;Sylvilagus brasiliensis;Sylvilagus brasiliensis;NA;NA;NA;NA;NA;NA;NA;NA
AML143;97;Brazil;minas_gerais;Mirai;Atlantic Forest Fragment;-21145691;-42695161;precise;NA;NA;716.788;NA;Riparian forest;yes;Pasture;Rosa, C. (2018). Unpublished data. ;2018;Unpublished data;July;2018;October;2018;3;Edge;80;hours;line_transect;Carnivora;Cerdocyon;Cerdocyon thous;Cerdocyon thous;NA;NA;NA;NA;NA;NA;NA;NA
AML143;97;Brazil;minas_gerais;Mirai;Atlantic Forest Fragment;-21145691;-42695161;precise;NA;NA;716.788;NA;Riparian forest;yes;Pasture;Rosa, C. (2018). Unpublished data. ;2018;Unpublished data;July;2018;October;2018;3;Edge;80;hours;line_transect;Carnivora;Chrysocyon;Chrysocyon brachyurus;Chrysocyon brachyurus;NA;NA;NA;NA;NA;NA;NA;NA
AML143;97;Brazil;minas_gerais;Mirai;Atlantic Forest Fragment;-21144862;-42691538;precise;NA;NA;720.509;NA;Riparian forest;no;Pasture;Rosa, C. (2018). Unpublished data. ;2018;Unpublished data;July;2018;October;2018;3;Edge;80;hours;line_transect;Carnivora;Chrysocyon;Chrysocyon brachyurus;Chrysocyon brachyurus;NA;NA;NA;NA;NA;NA;NA;NA
AML143;97;Brazil;minas_gerais;Mirai;Atlantic Forest Fragment;-21144862;-42691538;precise;NA;NA;720.509;NA;Riparian forest;no;Pasture;Rosa, C. (2018). Unpublished data. ;2018;Unpublished data;July;2018;October;2018;3;Edge;80;hours;line_transect;Rodentia;Coendou;Coendou spinosus;Coendou spinosus;NA;NA;NA;NA;NA;NA;NA;NA
AML143;97;Brazil;minas_gerais;Mirai;Atlantic Forest Fragment;-21144862;-42691538;precise;NA;NA;720.509;NA;Riparian forest;no;Pasture;Rosa, C. (2018). Unpublished data. ;2018;Unpublished data;July;2018;October;2018;3;Edge;80;hours;line_transect;Carnivora;Leopardus;Leopardus pardalis;Leopardus pardalis;NA;NA;NA;NA;NA;NA;NA;NA
AML144;98;Brazil;bahia;Barra do Rocha;Atlantic Forest Fragment;-142058;-396325;precise;NA;NA;NA;NA;Ombrophilous Forest;no;Agriculture, Pasture;Fernandes-Ferreira, H. (2018). Unpublished data.;2018;Unpublished data;October;2013;October;2013;1;Edge;22.4;kilometers;line_transect;Rodentia;Hydrochoerus;Hydrochoerus hydrochaeris;Hydrochoerus hydrochaeris;2;NA;NA;NA;NA;NA;NA;NA
AML145;98;Brazil;bahia;Gongogi;Atlantic Forest Fragment;-142194;-396466;precise;NA;NA;NA;NA;Ombrophilous Forest;no;Agriculture, Pasture;Fernandes-Ferreira, H. (2018). Unpublished data.;2018;Unpublished data;October;2013;October;2013;1;Interior;22.4;kilometers;line_transect;Primates;Callithrix;Callithrix kuhlli;Callithrix kuhlli;1;NA;NA;NA;NA;NA;NA;NA
AML145;98;Brazil;bahia;Gongogi;Atlantic Forest Fragment;-142194;-396466;precise;NA;NA;NA;NA;Ombrophilous Forest;no;Agriculture, Pasture;Fernandes-Ferreira, H. (2018). Unpublished data.;2018;Unpublished data;October;2013;October;2013;1;Interior;22.4;kilometers;line_transect;Cingulata;Dasypus;Dasypus novemcinctus;Dasypus novemcinctus;2;NA;NA;NA;NA;NA;NA;NA
