ID;Country;State ;Municipality;Study_location;Species;Latitude;Longitude;Precision;Reserve_Area;Altitude;Altitude1km;Annual_mean_temperature;Annual_rainfall;Olsong200r;Olsoneconame;ribeirovegtype;BSRs;uc;protectedtype;ID;Year_start;Year_finish ;Duration;Season;Method;Strata_sampling ;Nights;hours_per_night;number_of_mistnets;effort_straube_bianconi;Sampling_habitat;community;Authors;Type;References;Voucher_Specimens
bat1021;Brazil;SAO PAULO;CANANEIA;Parque Estadual da Ilha do Cardoso;Noctilio.leporinus;-25,08685287;-47,92796182;Not-Precise;15100;16;16;22,6;2487;Atlantic Forests;Serra do Mar coastal forests;Dense Ombrophilous Forest;Serra do Mar;Y;Park;bat1001;2008;2008;6  months;NA;mist nets;U;21;6;5;8424;Forest trails and surroundings;all;Alves;Thesis;Alves, L. D. A. 2008. Estrutura da comunidade de morcegos (Mammalia: Chiroptera) do Parque Estadual da Ilha do Cardoso, São Paulo, SP. Dissertação de Mestrado. Universidade Federal de Mato Grosso do Sul.;Coleção Zoológica de Referência, Universidade Federal de Mato Grosso do Sul (ZUFMS), Campo Grande, MS, Brazil
bat1022;Brazil;SAO PAULO;CANANEIA;Parque Estadual da Ilha do Cardoso;Myotis.levis;-25,08685287;-47,92796182;Not-Precise;15100;16;16;22,6;2487;Atlantic Forests;Serra do Mar coastal forests;Dense Ombrophilous Forest;Serra do Mar;Y;Park;bat1001;2008;2008;6  months;NA;mist nets;U;21;6;5;8424;Forest trails and surroundings;all;Alves;Thesis;Alves, L. D. A. 2008. Estrutura da comunidade de morcegos (Mammalia: Chiroptera) do Parque Estadual da Ilha do Cardoso, São Paulo, SP. Dissertação de Mestrado. Universidade Federal de Mato Grosso do Sul.;Coleção Zoológica de Referência, Universidade Federal de Mato Grosso do Sul (ZUFMS), Campo Grande, MS, Brazil
bat1023;Brazil;SANTA CATARINA;BLUMENAU;Parque Natural Municipal Nascentes do Garcia;Anoura.caudifer;-27,06;-49,08;Not-Precise;5296.16;460;398;18,5;1651;Atlantic Forests;Serra do Mar coastal forests;Dense Ombrophilous Forest;Serra do Mar;Y;Park;bat1002;2007;NA;27 months;both;mist nets;U;6;6;8;208008;Forest trails and surroundings;all;Althoff;Unpublished data;Althoff, S. L. 2007. A Comunidade de quirópteros, sua biologia e ecologia no Parque Natural Municipal Nascentes do Garcia, Estado de Santa Catarina, Brasil. Universidade Federal do Rio Grande do Sul.;Coleção Sergio Luis Althoff (SLA), Fundação Universidade Regional de Blumenau, Blumenau, SC, Brazil
bat1024;Brazil;SANTA CATARINA;BLUMENAU;Parque Natural Municipal Nascentes do Garcia;Anoura.geoffroyi;-27,06;-49,08;Not-Precise;5296.16;460;398;18,5;1651;Atlantic Forests;Serra do Mar coastal forests;Dense Ombrophilous Forest;Serra do Mar;Y;Park;bat1002;2007;NA;27 months;both;mist nets;U;6;6;8;208008;Forest trails and surroundings;all;Althoff;Unpublished data;Althoff, S. L. 2007. A Comunidade de quirópteros, sua biologia e ecologia no Parque Natural Municipal Nascentes do Garcia, Estado de Santa Catarina, Brasil. Universidade Federal do Rio Grande do Sul.;Coleção Sergio Luis Althoff (SLA), Fundação Universidade Regional de Blumenau, Blumenau, SC, Brazil
bat1025;Brazil;SANTA CATARINA;BLUMENAU;Parque Natural Municipal Nascentes do Garcia;Artibeus.fimbriatus;-27,06;-49,08;Not-Precise;5296.16;460;398;18,5;1651;Atlantic Forests;Serra do Mar coastal forests;Dense Ombrophilous Forest;Serra do Mar;Y;Park;bat1002;2007;NA;27 months;both;mist nets;U;6;6;8;208008;Forest trails and surroundings;all;Althoff;Unpublished data;Althoff, S. L. 2007. A Comunidade de quirópteros, sua biologia e ecologia no Parque Natural Municipal Nascentes do Garcia, Estado de Santa Catarina, Brasil. Universidade Federal do Rio Grande do Sul.;Coleção Sergio Luis Althoff (SLA), Fundação Universidade Regional de Blumenau, Blumenau, SC, Brazil
bat1026;Brazil;SANTA CATARINA;BLUMENAU;Parque Natural Municipal Nascentes do Garcia;Artibeus.lituratus;-27,06;-49,08;Not-Precise;5296.16;460;398;18,5;1651;Atlantic Forests;Serra do Mar coastal forests;Dense Ombrophilous Forest;Serra do Mar;Y;Park;bat1002;2007;NA;27 months;both;mist nets;U;6;6;8;208008;Forest trails and surroundings;all;Althoff;Unpublished data;Althoff, S. L. 2007. A Comunidade de quirópteros, sua biologia e ecologia no Parque Natural Municipal Nascentes do Garcia, Estado de Santa Catarina, Brasil. Universidade Federal do Rio Grande do Sul.;Coleção Sergio Luis Althoff (SLA), Fundação Universidade Regional de Blumenau, Blumenau, SC, Brazil
bat1027;Brazil;SANTA CATARINA;BLUMENAU;Parque Natural Municipal Nascentes do Garcia;Artibeus.obscurus;-27,06;-49,08;Not-Precise;5296.16;460;398;18,5;1651;Atlantic Forests;Serra do Mar coastal forests;Dense Ombrophilous Forest;Serra do Mar;Y;Park;bat1002;2007;NA;27 months;both;mist nets;U;6;6;8;208008;Forest trails and surroundings;all;Althoff;Unpublished data;Althoff, S. L. 2007. A Comunidade de quirópteros, sua biologia e ecologia no Parque Natural Municipal Nascentes do Garcia, Estado de Santa Catarina, Brasil. Universidade Federal do Rio Grande do Sul.;Coleção Sergio Luis Althoff (SLA), Fundação Universidade Regional de Blumenau, Blumenau, SC, Brazil
bat1028;Brazil;SANTA CATARINA;BLUMENAU;Parque Natural Municipal Nascentes do Garcia;Artibeus.planirostris;-27,06;-49,08;Not-Precise;5296.16;460;398;18,5;1651;Atlantic Forests;Serra do Mar coastal forests;Dense Ombrophilous Forest;Serra do Mar;Y;Park;bat1002;2007;NA;27 months;both;mist nets;U;6;6;8;208008;Forest trails and surroundings;all;Althoff;Unpublished data;Althoff, S. L. 2007. A Comunidade de quirópteros, sua biologia e ecologia no Parque Natural Municipal Nascentes do Garcia, Estado de Santa Catarina, Brasil. Universidade Federal do Rio Grande do Sul.;Coleção Sergio Luis Althoff (SLA), Fundação Universidade Regional de Blumenau, Blumenau, SC, Brazil
bat1029;Brazil;SANTA CATARINA;BLUMENAU;Parque Natural Municipal Nascentes do Garcia;Carollia.perspicillata;-27,06;-49,08;Not-Precise;5296.16;460;398;18,5;1651;Atlantic Forests;Serra do Mar coastal forests;Dense Ombrophilous Forest;Serra do Mar;Y;Park;bat1002;2007;NA;27 months;both;mist nets;U;6;6;8;208008;Forest trails and surroundings;all;Althoff;Unpublished data;Althoff, S. L. 2007. A Comunidade de quirópteros, sua biologia e ecologia no Parque Natural Municipal Nascentes do Garcia, Estado de Santa Catarina, Brasil. Universidade Federal do Rio Grande do Sul.;Coleção Sergio Luis Althoff (SLA), Fundação Universidade Regional de Blumenau, Blumenau, SC, Brazil
bat1030;Brazil;SANTA CATARINA;BLUMENAU;Parque Natural Municipal Nascentes do Garcia;Chiroderma.doriae;-27,06;-49,08;Not-Precise;5296.16;460;398;18,5;1651;Atlantic Forests;Serra do Mar coastal forests;Dense Ombrophilous Forest;Serra do Mar;Y;Park;bat1002;2007;NA;27 months;both;mist nets;U;6;6;8;208008;Forest trails and surroundings;all;Althoff;Unpublished data;Althoff, S. L. 2007. A Comunidade de quirópteros, sua biologia e ecologia no Parque Natural Municipal Nascentes do Garcia, Estado de Santa Catarina, Brasil. Universidade Federal do Rio Grande do Sul.;Coleção Sergio Luis Althoff (SLA), Fundação Universidade Regional de Blumenau, Blumenau, SC, Brazil
bat1031;Brazil;SANTA CATARINA;BLUMENAU;Parque Natural Municipal Nascentes do Garcia;Chrotopterus.auritus;-27,06;-49,08;Not-Precise;5296.16;460;398;18,5;1651;Atlantic Forests;Serra do Mar coastal forests;Dense Ombrophilous Forest;Serra do Mar;Y;Park;bat1002;2007;NA;27 months;both;mist nets;U;6;6;8;208008;Forest trails and surroundings;all;Althoff;Unpublished data;Althoff, S. L. 2007. A Comunidade de quirópteros, sua biologia e ecologia no Parque Natural Municipal Nascentes do Garcia, Estado de Santa Catarina, Brasil. Universidade Federal do Rio Grande do Sul.;Coleção Sergio Luis Althoff (SLA), Fundação Universidade Regional de Blumenau, Blumenau, SC, Brazil
bat1032;Brazil;SANTA CATARINA;BLUMENAU;Parque Natural Municipal Nascentes do Garcia;Desmodus.rotundus;-27,06;-49,08;Not-Precise;5296.16;460;398;18,5;1651;Atlantic Forests;Serra do Mar coastal forests;Dense Ombrophilous Forest;Serra do Mar;Y;Park;bat1002;2007;NA;27 months;both;mist nets;U;6;6;8;208008;Forest trails and surroundings;all;Althoff;Unpublished data;Althoff, S. L. 2007. A Comunidade de quirópteros, sua biologia e ecologia no Parque Natural Municipal Nascentes do Garcia, Estado de Santa Catarina, Brasil. Universidade Federal do Rio Grande do Sul.;Coleção Sergio Luis Althoff (SLA), Fundação Universidade Regional de Blumenau, Blumenau, SC, Brazil
bat1033;Brazil;SANTA CATARINA;BLUMENAU;Parque Natural Municipal Nascentes do Garcia;Platyrrhinus.lineatus;-27,06;-49,08;Not-Precise;5296.16;460;398;18,5;1651;Atlantic Forests;Serra do Mar coastal forests;Dense Ombrophilous Forest;Serra do Mar;Y;Park;bat1002;2007;NA;27 months;both;mist nets;U;6;6;8;208008;Forest trails and surroundings;all;Althoff;Unpublished data;Althoff, S. L. 2007. A Comunidade de quirópteros, sua biologia e ecologia no Parque Natural Municipal Nascentes do Garcia, Estado de Santa Catarina, Brasil. Universidade Federal do Rio Grande do Sul.;Coleção Sergio Luis Althoff (SLA), Fundação Universidade Regional de Blumenau, Blumenau, SC, Brazil
bat1034;Brazil;SANTA CATARINA;BLUMENAU;Parque Natural Municipal Nascentes do Garcia;Pygoderma.bilabiatum;-27,06;-49,08;Not-Precise;5296.16;460;398;18,5;1651;Atlantic Forests;Serra do Mar coastal forests;Dense Ombrophilous Forest;Serra do Mar;Y;Park;bat1002;2007;NA;27 months;both;mist nets;U;6;6;8;208008;Forest trails and surroundings;all;Althoff;Unpublished data;Althoff, S. L. 2007. A Comunidade de quirópteros, sua biologia e ecologia no Parque Natural Municipal Nascentes do Garcia, Estado de Santa Catarina, Brasil. Universidade Federal do Rio Grande do Sul.;Coleção Sergio Luis Althoff (SLA), Fundação Universidade Regional de Blumenau, Blumenau, SC, Brazil
bat1035;Brazil;SANTA CATARINA;BLUMENAU;Parque Natural Municipal Nascentes do Garcia;Sturnira.lilium;-27,06;-49,08;Not-Precise;5296.16;460;398;18,5;1651;Atlantic Forests;Serra do Mar coastal forests;Dense Ombrophilous Forest;Serra do Mar;Y;Park;bat1002;2007;NA;27 months;both;mist nets;U;6;6;8;208008;Forest trails and surroundings;all;Althoff;Unpublished data;Althoff, S. L. 2007. A Comunidade de quirópteros, sua biologia e ecologia no Parque Natural Municipal Nascentes do Garcia, Estado de Santa Catarina, Brasil. Universidade Federal do Rio Grande do Sul.;Coleção Sergio Luis Althoff (SLA), Fundação Universidade Regional de Blumenau, Blumenau, SC, Brazil
bat1036;Brazil;SANTA CATARINA;BLUMENAU;Parque Natural Municipal Nascentes do Garcia;Sturnira.tildae;-27,06;-49,08;Not-Precise;5296.16;460;398;18,5;1651;Atlantic Forests;Serra do Mar coastal forests;Dense Ombrophilous Forest;Serra do Mar;Y;Park;bat1002;2007;NA;27 months;both;mist nets;U;6;6;8;208008;Forest trails and surroundings;all;Althoff;Unpublished data;Althoff, S. L. 2007. A Comunidade de quirópteros, sua biologia e ecologia no Parque Natural Municipal Nascentes do Garcia, Estado de Santa Catarina, Brasil. Universidade Federal do Rio Grande do Sul.;Coleção Sergio Luis Althoff (SLA), Fundação Universidade Regional de Blumenau, Blumenau, SC, Brazil
bat1037;Brazil;SANTA CATARINA;BLUMENAU;Parque Natural Municipal Nascentes do Garcia;Vampyressa.pusilla;-27,06;-49,08;Not-Precise;5296.16;460;398;18,5;1651;Atlantic Forests;Serra do Mar coastal forests;Dense Ombrophilous Forest;Serra do Mar;Y;Park;bat1002;2007;NA;27 months;both;mist nets;U;6;6;8;208008;Forest trails and surroundings;all;Althoff;Unpublished data;Althoff, S. L. 2007. A Comunidade de quirópteros, sua biologia e ecologia no Parque Natural Municipal Nascentes do Garcia, Estado de Santa Catarina, Brasil. Universidade Federal do Rio Grande do Sul.;Coleção Sergio Luis Althoff (SLA), Fundação Universidade Regional de Blumenau, Blumenau, SC, Brazil
